Temperature,Dew Point,Wind Speed,Relative Humidity,DHI
34.6,11.3,0.9,24.41,1
29.1,16.2,0.9,45.62,1
31.4,14.1,1.2,35.1,1
31.6,16.2,3.5,39.6,1
29.1,14,1.9,39.65,1
32.1,13.5,1.3,32.41,1
23.8,6.7,1.4,33.31,1
25.3,5.3,1.2,27.65,1
21.5,2,1,27.65,2
29,1.3,1.3,16.76,2
32,5.9,1.1,19.54,2
29.9,16,1.5,42.97,2
30.8,11.9,2.3,31.39,2
33.1,15.7,2,35.17,2
25.5,9.6,1.3,36.55,2
26.6,4.2,0.7,23.73,2
20,2.6,1.1,31.5,3
28.5,4,1.2,20.87,3
30.9,5.6,1.2,20.44,3
30.2,14,1,37.14,3
27.7,24.1,0.9,80.81,3
18.1,1.7,2,33.43,4
32.5,8.5,1.1,22.63,4
19,9.8,1.1,55.15,4
17.2,7.1,1.2,51.6,4
24.5,6.7,1.7,31.93,4
30.9,6.2,1.2,21.25,5
27.2,23.7,1,81.22,5
24.5,19.9,0.8,75.4,5
17.5,7.4,1.2,51.69,5
25.5,10.1,1.3,37.8,5
16.8,2.3,1.3,37.87,6
19.3,6.6,3.2,43.52,6
31.3,8.5,2.5,24.26,6
34,8.6,1,20.99,6
34.7,6,1.3,16.89,6
25.2,19.7,1,71.76,6
21.5,13.8,1,61.5,6
26.1,10.9,1.4,38.46,6
8.6,-2.4,1.8,45.84,6
14.2,2.9,0.5,46.64,7
18.8,0.6,0.9,29.46,7
19.2,-0.8,0.7,25.98,7
17.4,-1.7,1.3,27.17,7
19.2,11,3,59.13,7
31.1,8.8,0.9,24.99,7
35.4,7.8,1.3,18.39,7
27.2,23.9,1.2,82.32,7
26.8,21.4,0.7,72.16,7
17.5,7.5,1.2,52.04,7
25.4,11.5,1.3,41.82,7
8.3,-2.9,1.3,45.04,7
15.4,-0.8,1.2,32.9,8
18.2,6.1,3.7,45.23,8
31.3,4.5,1.5,18.48,8
26.2,22.5,0.8,80,8
18.7,7.9,1.5,49.53,8
18,9.5,1.6,57.52,8
15.8,-2.7,1.8,27.91,9
10.4,-0.3,1.7,47.41,9
12,-1.1,0.8,40.2,9
30.1,6.7,1.9,23.06,9
30.3,8,2.8,24.82,9
28.9,26.4,0.7,86.34,9
27.1,23.9,1.6,82.62,9
21.9,13.9,0.9,60.31,9
20.8,12.7,1.5,59.94,9
18.8,7.9,1.7,49.24,9
10.7,-6.1,1.7,30.27,10
21.2,4.5,0.6,33.61,10
31.6,2.5,2.5,15.71,10
33.4,5.9,1.7,18.09,10
36.4,9.4,2.3,19.36,10
29.1,26.6,0.5,86.45,10
23,16.9,1.4,68.53,10
23,16.5,0.9,66.82,10
26.4,11.8,1.2,40.16,10
15.7,5.4,1.3,50.38,11
10.6,-1.2,1.3,43.77,11
15.9,-3.3,1,26.57,11
8.8,-5.1,0.9,36.96,11
14.6,-4.9,1.1,25.61,11
33.3,-1.6,1.2,10.68,11
27.1,27,1.1,99.53,11
23.2,20.5,1.2,84.61,11
26.7,10.4,1.2,36.1,11
14.2,-0.5,0.8,36.5,12
13,2,0.9,47.14,12
7.1,-5.2,1.2,41.11,12
14.8,0.5,3.9,37.7,12
14.9,-0.3,3.1,35.36,12
22.9,22.2,1.4,96.09,12
26.7,21.4,0.7,72.6,12
14,-1.8,1.3,33.64,13
13.9,-1.6,1.3,34.37,13
8.3,-2.6,0.8,46.34,13
16.5,-7.2,1,19.1,13
17.3,-9.8,0.5,14.83,13
13.8,-8.7,1.3,20.15,13
10,-11.8,0.5,20.3,13
11.3,-10.8,0.4,20.13,13
14.7,4.2,0.8,49.42,13
19.6,1.7,0.5,30.25,13
28.1,-3.1,1.2,12.78,13
34.4,8.3,1.2,20.09,13
33.6,-5.6,1.3,7.75,13
30.4,26.7,0.5,80.82,13
28.6,25.9,0.5,85.53,13
24.1,18.9,0.4,72.56,13
